187,Available,Red,2011-07-25,2014-04-15,Male,...,...,NULL,NULL,NULL,1,0,NULL,,"NB's Looter ""Lootie""",,75
188,Available,Fawn,2011-05-06,2014-04-15,Male,...,...,...,NULL,NULL,1,0,NULL,,"O Ya Blu ""Blu""",,0
189,Available,Black,2011-04-05,2014-04-15,Male,...,...,NULL,NULL,NULL,0,0,NULL,,"Oya Boogiewoogie ""Boogie Woogie""",,0
190,Available,Fawn Brindle,2011-06-07,2014-04-15,Male,...,...,NULL,NULL,NULL,0,0,NULL,,"PB's Curtis Lo ""Curtis""",,0
191,Pending,Brindle,2009-10-25,2014-04-15,Female,...,...,NULL,NULL,NULL,0,0,NULL,,"PG Smokie ""Smokie""",,63
192,Pending,Red,2008-04-01,2014-04-15,Male,...,...,NULL,NULL,NULL,1,1,NULL,,"Regall Cruze ""Rex""",,0
193,Available,Red,2009-04-17,2014-04-15,Male,...,...,NULL,NULL,NULL,1,0,NULL,,"Road Tested ""Roady""",,67
194,Available,Brindle,2010-12-04,2014-04-15,Male,...,...,...,NULL,NULL,1,0,NULL,,"San Tan Big Iron ""Iron""",,0
195,Available,Red,2009-04-24,2014-04-15,Male,...,...,...,NULL,NULL,0,0,NULL,,"Speed Hazard ""Harley""",,67
196,Available,Black,2009-04-24,2014-04-15,Female,...,...,...,NULL,NULL,1,1,NULL,,"Starz Big Memory ""Memory""",A real sweetie-pie with ,65
197,Available,Red,2010-10-31,2014-04-15,Female,...,...,NULL,NULL,NULL,1,0,NULL,,"TG's Soul Surfer ""Soul""",,60
198,Available,White Ticked Brindle,2010-11-24,2014-04-15,Female,...,...,NULL,NULL,NULL,0,0,NULL,,"TJ Philharmonic ""Philly""",,0
199,Available,Brindle,2007-04-09,2014-04-15,Male,...,...,...,NULL,NULL,1,1,NULL,,"Van's Tiznow ""Duke""",,71
200,Available,Red,2010-10-07,2014-04-15,Male,...,...,NULL,NULL,NULL,0,0,NULL,,"Whiskey Dreams ""Whiskey""",,72
201,Available,White and Red,2012-06-12,2014-04-15,Female,...,...,NULL,NULL,NULL,1,0,NULL,,"Wild Tornado ""Tornado""",,0
202,Available,Black,2008-01-23,2014-04-15,Male,...,...,...,NULL,NULL,1,1,NULL,"The definition of ""extrovert,"" this energetic boy will keep you constantly entertained!","Won More Victory ""Victory""",extrovert,72
203,Available,White Ticked Black,2009-10-06,2014-04-15,Female,...,...,...,NULL,NULL,0,0,NULL,,"WW's Kay Dime ""Kay""",,0
204,Available,Dark Brindle,2011-06-01,2014-04-15,Male,...,...,NULL,NULL,NULL,1,0,NULL,,"WW's Nomoretears ""Maury""",,0
205,Adopted,Brindle,2011-09-19,2014-04-15,Female,...,...,...,NULL,NULL,1,0,NULL,,"Yahoo Elsie ""Elsie""",,55
